price;product;quantitytoorder2p;region;skucode;skuname;url;title;ahprice;portiegrote;ahsku
0.65;ontbijt-box;1;NL;PTN-11-10681-4;Ontbijtspek (50g);https://www.ah.nl/producten/product/wi197147/ah-ontbijtspek;AH Ontbijtspek;2,16;118 Gram;591084
2.48;ontbijt-box;1;NL;PTN-11-10734-4;Gesneden achterham (12x15g);;product not found;product not found;product not found;product not found
2.48;ontbijt-box;1;NL;PTN-11-10734-4;Gesneden achterham (12x15g);;product not found;product not found;product not found;product not found
2.48;ontbijt-box;1;NL;PTN-11-10734-4;Gesneden achterham (12x15g);;product not found;product not found;product not found;product not found
0.83;ontbijt-box;1;NL;PTN-11-45466-4;Kalkoenfilet x4;https://www.ah.nl/producten/product/wi221033/meesterandzn-kalkoenfilet;Meester&Zn Kalkoenfilet;1,38;150 Gram;815841
0.83;ontbijt-box;1;NL;PTN-11-45466-4;Kalkoenfilet x4;https://www.ah.nl/producten/product/wi197434/ah-kalkoenfilet;AH Kalkoenfilet;2,85;150 Gram;789504
0.83;ontbijt-box;1;NL;PTN-11-45466-4;Kalkoenfilet x4;https://www.ah.nl/producten/product/wi126993/ah-kalkoenborstfilet;AH Kalkoenborstfilet;2,29;100 Gram;576522
0.47;ontbijt-box;1;NL;PTN-11-48553-1;Vrije-uitloopei (4st);https://www.ah.nl/producten/product/wi46882/ah-vrije-uitloop-eierkoeken;AH Vrije uitloop eierkoeken;0,82;300 Gram;102255
0.47;ontbijt-box;1;NL;PTN-11-48553-1;Vrije-uitloopei (4st);https://www.ah.nl/producten/product/wi161001/blije-kip-buitenei-vrije-uitloop;Blije Kip Buitenei vrije uitloop;2,95;10 Stuk;622771
0.47;ontbijt-box;1;NL;PTN-11-48553-1;Vrije-uitloopei (4st);https://www.ah.nl/producten/product/wi168502/ah-biologisch-eieren;AH Biologisch Eieren;3,69;560 Gram;751795
0.05;ontbijt-box;1;NL;SPI-10-45391-4;Gemalen kaneel (3g);https://www.ah.nl/producten/product/wi414962/verstegen-zakje-kaneel-gemalen;Verstegen Zakje kaneel gemalen;1,43;35 Gram;857066
0.05;ontbijt-box;1;NL;SPI-10-45391-4;Gemalen kaneel (3g);https://www.ah.nl/producten/product/wi197971/ah-basic-kaneel-gemalen;AH BASIC Kaneel gemalen;0,90;50 Gram;635876
0.05;ontbijt-box;1;NL;SPI-10-45391-4;Gemalen kaneel (3g);https://www.ah.nl/producten/product/wi216632/verstegen-strooier-kaneel;Verstegen Strooier kaneel;2,09;37 Gram;810503
0.05;ontbijt-box;1;NL;SPI-10-45401-4;Paprikapoeder (4g);https://www.ah.nl/producten/product/wi216677/verstegen-strooier-paprikapoeder-mild;Verstegen Strooier paprikapoeder mild;2,15;38 Gram;810558
0.05;ontbijt-box;1;NL;SPI-10-45401-4;Paprikapoeder (4g);https://www.ah.nl/producten/product/wi164655/ah-paprika-mild-poeder;AH Paprika mild poeder;2,05;37 Gram;635903
0.05;ontbijt-box;1;NL;SPI-10-45401-4;Paprikapoeder (4g);https://www.ah.nl/producten/product/wi197977/ah-basic-paprika-gemalen;AH BASIC Paprika gemalen;0,76;50 Gram;635882
0.94;ontbijt-box;1;NL;SPI-11-24102-4;Gebrande en gezouten amandelen (100g);;product not found;product not found;product not found;product not found
0.94;ontbijt-box;1;NL;SPI-11-24102-4;Gebrande en gezouten amandelen (100g);;product not found;product not found;product not found;product not found
0.94;ontbijt-box;1;NL;SPI-11-24102-4;Gebrande en gezouten amandelen (100g);;product not found;product not found;product not found;product not found
0.20;ontbijt-box;1;NL;SPI-11-24209-4;Chiazaad (10g);https://www.ah.nl/producten/product/wi227438/ah-chiazaad;AH Chiazaad;2,35;175 Gram;820904
0.20;ontbijt-box;1;NL;SPI-11-24209-4;Chiazaad (10g);https://www.ah.nl/producten/product/wi461576/de-kleine-keuken-letterkoekjes-met-chiazaad-12m-bio;De Kleine Keuken Letterkoekjes met Chiazaad 12m bio;2,59;4 Stuk. 120 Gram;713810
0.20;ontbijt-box;1;NL;SPI-11-24209-4;Chiazaad (10g);https://www.ah.nl/producten/product/wi437115/ah-chiazaad;AH Chiazaad;2,49;225 Gram;63166
0.21;ontbijt-box;1;NL;SPI-11-24231-4;Lijnzaad (30g);https://www.ah.nl/producten/product/wi170880/zonnatura-gebroken-lijnzaad;Zonnatura Gebroken lijnzaad;1,99;400 Gram;760063
0.21;ontbijt-box;1;NL;SPI-11-24231-4;Lijnzaad (30g);https://www.ah.nl/producten/product/wi227834/smaakt-lijnzaad-gebroken;Smaakt Lijnzaad gebroken;1,99;500 Gram;821640
0.21;ontbijt-box;1;NL;SPI-11-24231-4;Lijnzaad (30g);https://www.ah.nl/producten/product/wi404051/puur-natuur-lijnzaad-gebroken-bio;Puur Natuur Lijnzaad gebroken bio;1,99;500 Gram;851456
0.72;ontbijt-box;1;NL;SPI-11-24245-4;Chocovlokken (50g);;product not found;product not found;product not found;product not found
0.72;ontbijt-box;1;NL;SPI-11-24245-4;Chocovlokken (50g);;product not found;product not found;product not found;product not found
0.72;ontbijt-box;1;NL;SPI-11-24245-4;Chocovlokken (50g);;product not found;product not found;product not found;product not found
0.65;ontbijt-box;1;NL;SPI-11-24246-4;Chocovlokken (60g);;product not found;product not found;product not found;product not found
0.65;ontbijt-box;1;NL;SPI-11-24246-4;Chocovlokken (60g);;product not found;product not found;product not found;product not found
0.65;ontbijt-box;1;NL;SPI-11-24246-4;Chocovlokken (60g);;product not found;product not found;product not found;product not found
0.49;ontbijt-box;1;NL;SPI-11-24271-4;Havermout (150g);https://www.ah.nl/producten/product/wi237890/ah-biologisch-havermout;AH Biologisch Havermout;1,09;450 Gram;830687
0.49;ontbijt-box;1;NL;SPI-11-24271-4;Havermout (150g);https://www.ah.nl/producten/product/wi368020/ah-vezelrijke-havermout-fijne-vlokken;AH Vezelrijke havermout fijne vlokken;0,89;450 Gram;833335
0.49;ontbijt-box;1;NL;SPI-11-24271-4;Havermout (150g);https://www.ah.nl/producten/product/wi48405/ah-basic-havermout;AH BASIC Havermout;0,50;500 Gram;501381
0.52;ontbijt-box;1;NL;SPI-11-24272-4;Havermout (200g);https://www.ah.nl/producten/product/wi237890/ah-biologisch-havermout;AH Biologisch Havermout;1,09;450 Gram;830687
0.52;ontbijt-box;1;NL;SPI-11-24272-4;Havermout (200g);https://www.ah.nl/producten/product/wi368020/ah-vezelrijke-havermout-fijne-vlokken;AH Vezelrijke havermout fijne vlokken;0,89;450 Gram;833335
0.52;ontbijt-box;1;NL;SPI-11-24272-4;Havermout (200g);https://www.ah.nl/producten/product/wi48405/ah-basic-havermout;AH BASIC Havermout;0,50;500 Gram;501381
0.19;ontbijt-box;1;NL;SPI-11-24328-4;Kokosrasp (20g);https://www.ah.nl/producten/product/wi371137/biotoday-kokosrasp;BioToday Kokosrasp;1,99;150 Gram;836022
0.19;ontbijt-box;1;NL;SPI-11-24328-4;Kokosrasp (20g);https://www.ah.nl/producten/product/wi438897/take-one-kokosrasp;Take One Kokosrasp;1,49;150 Gram;69314
0.19;ontbijt-box;1;NL;SPI-11-24328-4;Kokosrasp (20g);https://www.ah.nl/producten/product/wi404058/puur-natuur-kokosrasp;Puur Natuur Kokosrasp;2,99;250 Gram;851463
0.29;ontbijt-box;1;NL;SPI-11-24331-4;Kokosrasp (40g);https://www.ah.nl/producten/product/wi371137/biotoday-kokosrasp;BioToday Kokosrasp;1,99;150 Gram;836022
